Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
5.100	0.1322	-251.93	1.121	325.76	-1000000	-1000000	-1000000	-1000000	
5.120	0.1329	-216.89	1.128	328.03	-1000000	-1000000	-1000000	-1000000	
5.140	0.1333	-162.59	1.134	329.45	-1000000	-1000000	-1000000	-1000000	
5.160	0.1335	-93.83	1.139	330.18	-1000000	-1000000	-1000000	-1000000	
5.180	0.1335	-20.15	1.144	330.70	-1000000	-1000000	-1000000	-1000000	
5.200	0.1336	46.51	1.147	331.21	-1000000	-1000000	-1000000	-1000000	
5.220	0.1335	95.15	1.149	331.23	-1000000	-1000000	-1000000	-1000000	
5.240	0.1335	123.84	1.150	330.69	-1000000	-1000000	-1000000	-1000000	
5.260	0.1335	137.05	1.151	330.19	-1000000	-1000000	-1000000	-1000000	
5.280	0.1335	141.09	1.150	329.67	-1000000	-1000000	-1000000	-1000000	
5.300	0.1335	140.93	1.150	329.19	-1000000	-1000000	-1000000	-1000000	
5.320	0.1335	139.63	1.150	329.05	-1000000	-1000000	-1000000	-1000000	
5.340	0.1335	138.45	1.150	328.95	-1000000	-1000000	-1000000	-1000000	
5.360	0.1334	137.45	1.150	328.92	-1000000	-1000000	-1000000	-1000000	
5.380	0.1335	137.01	1.149	328.89	-1000000	-1000000	-1000000	-1000000	
5.400	0.1335	136.95	1.149	328.92	-1000000	-1000000	-1000000	-1000000	
5.420	0.1335	136.90	1.149	328.79	-1000000	-1000000	-1000000	-1000000	
5.440	0.1335	136.90	1.149	328.43	-1000000	-1000000	-1000000	-1000000	
5.460	0.1335	136.87	1.149	328.02	-1000000	-1000000	-1000000	-1000000	
5.480	0.1335	136.74	1.149	327.83	-1000000	-1000000	-1000000	-1000000	
5.500	0.1334	136.81	1.148	328.09	-1000000	-1000000	-1000000	-1000000	
5.520	0.1334	136.92	1.148	328.15	-1000000	-1000000	-1000000	-1000000	
5.540	0.1334	136.80	1.148	327.92	-1000000	-1000000	-1000000	-1000000	
5.560	0.1335	136.47	1.148	327.76	-1000000	-1000000	-1000000	-1000000	
5.580	0.1335	135.84	1.148	327.56	-1000000	-1000000	-1000000	-1000000	
5.600	0.1335	135.39	1.148	327.34	-1000000	-1000000	-1000000	-1000000	
5.620	0.1334	135.25	1.148	327.02	-1000000	-1000000	-1000000	-1000000	
5.640	0.1335	135.29	1.148	327.02	-1000000	-1000000	-1000000	-1000000	
5.660	0.1335	135.25	1.147	326.99	-1000000	-1000000	-1000000	-1000000	
5.680	0.1334	135.33	1.147	327.05	-1000000	-1000000	-1000000	-1000000	
5.700	0.1335	135.40	1.147	327.33	-1000000	-1000000	-1000000	-1000000	
5.720	0.1335	135.22	1.147	327.50	-1000000	-1000000	-1000000	-1000000	
5.740	0.1335	135.07	1.147	327.55	-1000000	-1000000	-1000000	-1000000	
5.760	0.1335	135.16	1.147	327.60	-1000000	-1000000	-1000000	-1000000	
5.780	0.1335	135.41	1.146	327.63	-1000000	-1000000	-1000000	-1000000	
5.800	0.1335	135.44	1.146	327.48	-1000000	-1000000	-1000000	-1000000	
5.820	0.1335	135.34	1.146	327.40	-1000000	-1000000	-1000000	-1000000	
5.840	0.1335	135.14	1.146	327.30	-1000000	-1000000	-1000000	-1000000	
5.860	0.1335	135.00	1.146	327.15	-1000000	-1000000	-1000000	-1000000	
5.880	0.1335	135.09	1.146	327.03	-1000000	-1000000	-1000000	-1000000	
5.900	0.1335	135.15	1.146	326.96	-1000000	-1000000	-1000000	-1000000	
5.920	0.1335	135.02	1.146	327.05	-1000000	-1000000	-1000000	-1000000	
5.940	0.1335	134.46	1.146	326.88	-1000000	-1000000	-1000000	-1000000	
5.960	0.1335	133.84	1.146	326.45	-1000000	-1000000	-1000000	-1000000	
5.980	0.1334	133.54	1.145	326.46	-1000000	-1000000	-1000000	-1000000	
6.000	0.1333	133.45	1.145	326.62	-1000000	-1000000	-1000000	-1000000	
6.020	0.1333	133.52	1.145	326.63	-1000000	-1000000	-1000000	-1000000	
6.040	0.1334	133.62	1.145	326.78	-1000000	-1000000	-1000000	-1000000	
6.060	0.1335	133.73	1.145	327.06	-1000000	-1000000	-1000000	-1000000	
6.080	0.1335	133.63	1.145	327.16	-1000000	-1000000	-1000000	-1000000	
